race,t_adaptive,t_fixed
442,5159.670137004327,5160.870137004327
443,5021.85245306389,5021.85245306389
444,5021.85245306389,5021.85245306389
445,5021.85245306389,5021.85245306389
446,5389.869863320323,5392.669863320323
447,5059.438068253501,5072.217919310812
448,5374.009090380914,5391.055364250434
449,5124.50633527492,5125.3063352749205
450,5216.254239415441,5220.808340592613
451,5073.6128289201,5074.0128289201
452,5111.499042946454,5125.984953237081
453,5021.85245306389,5021.85245306389
454,5021.85245306389,5021.85245306389
455,5021.85245306389,5021.85245306389
456,5223.0902427041265,5224.4146113063925
457,5238.549333075895,5238.949333075896
458,5161.23754955152,5162.437549551519
459,5021.85245306389,5021.85245306389
460,5021.85245306389,5021.85245306389
461,5333.871588310849,5336.271588310849
462,5553.05514875284,5554.6551487528395
463,5021.85245306389,5021.85245306389
464,5318.445957484765,5335.245957484766
465,5228.914378208088,5230.514378208089
466,5074.516574084508,5074.916574084508
467,5021.85245306389,5021.85245306389
468,5233.332687900751,5234.93268790075
469,5163.577000722683,5171.695863075173
470,5160.962823891942,5172.599608239581
471,5021.85245306389,5021.85245306389
472,5329.851614100673,5331.451614100673
473,5314.464266815066,5321.997784331913
474,5021.85245306389,5021.85245306389
475,5021.85245306389,5021.85245306389
476,5236.144339523353,5237.744339523352
477,5021.85245306389,5021.85245306389
478,5021.85245306389,5021.85245306389
479,5070.801177297497,5071.113341887646
480,5021.85245306389,5021.85245306389
481,5021.85245306389,5021.85245306389
482,5021.85245306389,5021.85245306389
483,5514.881281440284,5518.081281440284
484,5021.85245306389,5021.85245306389
485,5021.85245306389,5021.85245306389
486,5021.85245306389,5021.85245306389
487,5061.7843552378645,5071.916670922676
488,5415.90579331292,5418.704924809302
489,5021.85245306389,5021.85245306389
490,5395.9902536598765,5397.590253659877
491,5021.85245306389,5021.85245306389
492,5021.85245306389,5021.85245306389
493,5021.85245306389,5021.85245306389
494,5058.898559392219,5072.318335440191
495,5021.85245306389,5021.85245306389
496,5391.069863320323,5392.669863320323
497,5363.93893158338,5374.8610730937735
498,5021.85245306389,5021.85245306389
499,5021.85245306389,5021.85245306389
500,5021.85245306389,5021.85245306389
501,5021.85245306389,5021.85245306389
502,5126.916322380008,5127.716322380008
503,5021.85245306389,5021.85245306389
504,5182.967926996161,5184.167926996161
505,5021.85245306389,5021.85245306389
506,6566.06873797171,6569.26873797171
507,5021.85245306389,5021.85245306389
508,5416.709122347949,5419.50825384433
509,5021.85245306389,5021.85245306389
510,5074.215325696372,5074.615325696372
511,5438.969642995629,5440.56964299563
512,5805.430518255129,5807.545994579269
513,5070.499928909361,5070.81209349951
514,5114.33099587664,5121.563225871634
515,5021.85245306389,5021.85245306389
516,5340.696556073569,5342.296556073569
517,5021.85245306389,5021.85245306389
518,5021.85245306389,5021.85245306389
519,5334.47408508712,5336.874085087122
520,5183.068343125539,5184.26834312554
521,5021.85245306389,5021.85245306389
522,5021.85245306389,5021.85245306389
523,5260.503309331803,5275.026042316052
524,5060.880966176324,5072.017087052054
525,5373.517784765676,5367.117156454826
526,5021.85245306389,5021.85245306389
527,5227.508552396787,5229.108552396787
528,5058.0077932088825,5072.6195838283265
529,5114.33099587664,5121.563225871634
530,5073.4119966613425,5073.811996661342
531,5128.522980450067,5129.322980450067
532,5021.85245306389,5021.85245306389
533,5021.85245306389,5021.85245306389
534,5021.85245306389,5021.85245306389
535,5021.85245306389,5021.85245306389
536,5119.887193323502,5120.5590645778475
537,5712.962328047445,5714.562328047445
538,5021.85245306389,5021.85245306389
539,5021.85245306389,5021.85245306389
540,5624.501155305375,5641.701155305374
541,5021.85245306389,5021.85245306389
542,5062.80903769949,5071.816254793297
543,5021.85245306389,5021.85245306389
544,5178.147952785986,5179.347952785986
545,5021.85245306389,5021.85245306389
546,5649.323947464689,5650.571304756005
547,5073.010332143827,5073.410332143828
548,5725.005605502825,5725.005605502825
549,5021.85245306389,5021.85245306389
550,5021.85245306389,5021.85245306389
551,5514.696141362429,5526.795510466607
552,5021.85245306389,5021.85245306389
553,5021.85245306389,5021.85245306389
554,5119.485528805987,5120.157400060333
555,5072.709083755692,5073.109083755692
556,5435.962152666814,5438.762152666814
557,5075.119070860779,5075.51907086078
558,5075.219486990158,5075.619486990158
559,5272.735250642684,5285.599402535808
560,5021.85245306389,5021.85245306389
561,5021.85245306389,5021.85245306389
562,5021.85245306389,5021.85245306389
563,5021.85245306389,5021.85245306389
